date,account,type,category,amount,description
2025-08-22,AC123,Credit,Rent,3764.69,Monthly rent
2025-08-13,AC124,Credit,Entertainment,4241.66,Movie or event
2025-08-26,AC123,Debit,Utilities,-3355.03,Utility bill
2025-08-25,AC123,Debit,Transport,489.64,Taxi or bus fare
2025-08-24,AC125,Credit,Shopping,2948.45,Purchased items
2025-08-26,AC124,,Food,4054.37,Lunch at cafe
2025-08-12,AC125,Credit,Entertainment,-1838.60,Movie or event
2025-08-19,AC125,Credit,Transport,1324.98,Taxi or bus fare
2025-08-21,AC123,Credit,Salary,1291.69,Monthly paycheck
2025-08-24,AC125,Credit,Food,1322.00,Lunch at cafe
2025-08-10,AC123,Debit,Shopping,3622.01,Purchased items
2025-08-22,AC125,Debit,Transport,1604.33,Taxi or bus fare
2025-08-31,AC123,Credit,Food,4301.91,Lunch at cafe
2025-08-26,AC125,Debit,Transport,1183.62,Taxi or bus fare
2025-08-08,AC123,Credit,Transport,4437.34,Taxi or bus fare
2025-08-26,AC124,Debit,Salary,4345.44,Monthly paycheck
2025-08-12,AC123,Credit,Food,4593.94,Lunch at cafe
2025-08-06,AC123,Debit,Food,3228.06,Lunch at cafe
2025-08-30,AC123,Debit,Shopping,1495.83,Purchased items
2025-08-22,AC124,Credit,Entertainment,2005.47,Movie or event
2025-08-01,AC125,Credit,Food,4463.43,Lunch at cafe
2025-08-16,AC125,Credit,Entertainment,1756.81,Movie or event
2025-08-07,AC125,Debit,Entertainment,1297.42,Movie or event
2025-08-16,AC123,Debit,Shopping,1354.09,Purchased items
2025-08-20,AC124,Credit,Utilities,4565.83,Utility bill
2025-08-17,AC124,Credit,Shopping,950.39,Purchased items
2025-08-14,AC124,Debit,Transport,501.25,Taxi or bus fare
2025-08-12,AC125,Credit,Entertainment,900.40,Movie or event
2025-08-26,AC124,Credit,Food,3965.34,Lunch at cafe
2025-08-19,AC124,Credit,Salary,195.57,Monthly paycheck
2025-08-27,AC123,Debit,Food,4187.47,Lunch at cafe
2025-08-02,AC124,Debit,Rent,4745.60,Monthly rent
2025-08-10,AC125,Debit,Rent,2234.70,Monthly rent
2025-08-07,AC123,Credit,Entertainment,2088.54,Movie or event
2025-08-04,AC123,Credit,Utilities,2419.97,Utility bill
2025-08-24,AC123,Debit,Utilities,361.46,Utility bill
2025-08-12,AC124,Credit,Food,1105.72,Lunch at cafe
2025-08-01,AC125,Debit,Transport,613.68,Taxi or bus fare
2025-08-28,AC125,Credit,Entertainment,2609.77,Movie or event
2025-08-29,AC123,Debit,Food,2794.61,Lunch at cafe
2025-08-19,AC124,Debit,Transport,3170.61,Taxi or bus fare
2025-08-01,AC125,,Shopping,1998.28,Purchased items
2025-08-20,AC124,Credit,Salary,82.82,
2025-08-13,AC125,Debit,Utilities,3853.22,Utility bill
2025-08-10,AC123,Debit,Rent,3668.52,Monthly rent
2025-08-14,AC124,Debit,Entertainment,2838.96,Movie or event
2025-08-21,AC125,Debit,Rent,3042.07,Monthly rent
2025-08-11,AC124,Debit,Transport,4728.86,Taxi or bus fare
2025-08-07,AC125,Debit,Entertainment,3966.80,Movie or event
2025-08-09,AC123,Credit,Transport,2081.27,Taxi or bus fare
2025-08-04,AC124,Credit,Food,969.68,Lunch at cafe
2025-08-20,AC123,Credit,Entertainment,4369.98,Movie or event
2025-08-25,AC124,Credit,Salary,3553.33,Monthly paycheck
2025-08-10,AC125,Debit,Shopping,4880.83,Purchased items
2025-08-24,AC124,Debit,Transport,1414.94,Taxi or bus fare
2025-08-02,AC123,Debit,Utilities,1308.54,Utility bill
2025-08-28,AC124,Credit,Transport,2008.02,Taxi or bus fare
2025-08-16,AC123,Credit,Entertainment,1401.54,Movie or event
2025-08-09,AC125,Debit,Food,4919.63,Lunch at cafe
2025-08-15,AC123,Debit,Rent,1252.32,Monthly rent
2025-08-16,AC123,Debit,Entertainment,3785.78,Movie or event
2025-08-29,AC123,Credit,Transport,80.95,Taxi or bus fare
2025-08-29,AC125,Debit,Entertainment,2717.60,Movie or event
2025-08-10,AC123,Debit,Food,1609.64,Lunch at cafe
2025-08-31,AC124,Debit,Rent,460.97,Monthly rent
2025-08-09,AC125,Credit,Utilities,3375.63,Utility bill
2025-08-24,AC123,Credit,Transport,1762.33,Taxi or bus fare
2025-08-16,AC124,Debit,Utilities,1580.46,
2025-08-13,AC124,Credit,Salary,2996.80,Monthly paycheck
2025-08-11,AC123,Credit,Rent,735.28,Monthly rent
2025-08-06,AC124,Debit,Rent,2169.31,Monthly rent
2025-08-18,AC123,Credit,Entertainment,577.55,Movie or event
2025-08-25,AC125,Credit,Utilities,2595.30,Utility bill
2025-08-18,AC123,Debit,Salary,2873.58,Monthly paycheck
2025-08-02,AC124,Credit,Food,1223.31,Lunch at cafe
2025-08-28,AC125,Credit,Entertainment,-3093.96,Movie or event
2025-08-12,AC125,Credit,Shopping,990.28,Purchased items
2025-08-07,AC125,Credit,Shopping,1073.58,Purchased items
2025-08-27,AC125,Debit,Shopping,2654.30,Purchased items
2025-08-03,AC124,Debit,Rent,1353.64,Monthly rent
2025-08-25,AC124,Debit,Salary,3776.57,Monthly paycheck
2025-08-10,AC124,Debit,Rent,4737.02,Monthly rent
2025-08-24,AC123,Credit,Shopping,2978.98,Purchased items
2025-08-29,AC125,Debit,Utilities,3890.64,Utility bill
2025-08-12,AC125,Debit,Entertainment,662.15,Movie or event
2025-08-25,AC123,Debit,Transport,1573.67,Taxi or bus fare
2025-08-09,AC125,Credit,Shopping,616.36,Purchased items
2025-08-05,AC125,Credit,Rent,1447.19,Monthly rent
2025-08-11,AC125,Debit,Transport,757.48,Taxi or bus fare
2025-08-17,AC125,Debit,Transport,1495.21,Taxi or bus fare
2025-08-16,AC123,Credit,Rent,4023.15,Monthly rent
2025-08-29,AC125,Credit,Shopping,4217.27,Purchased items
2025-08-08,AC123,Credit,Entertainment,1714.34,Movie or event
2025-08-22,AC124,Debit,Salary,4002.76,Monthly paycheck
2025-08-01,AC125,Credit,Food,2817.40,Lunch at cafe
2025-08-19,AC125,Credit,Transport,3347.02,Taxi or bus fare
2025-08-17,AC124,Credit,Rent,4091.86,Monthly rent
2025-08-23,AC125,Credit,Transport,819.56,Taxi or bus fare
2025-08-14,AC124,Credit,Rent,1958.98,Monthly rent
2025-08-03,AC125,Debit,Transport,4944.34,Taxi or bus fare
2025-08-08,AC123,Debit,Shopping,3476.39,Purchased items
2025-08-14,AC124,Credit,Rent,4402.46,Monthly rent
2025-08-08,AC123,Debit,Salary,4933.87,Monthly paycheck
2025-08-13,AC125,Debit,Shopping,1217.30,Purchased items
2025-08-28,AC125,Credit,Rent,2855.34,Monthly rent
2025-08-20,AC123,Debit,Rent,4832.30,Monthly rent
2025-08-18,AC123,Credit,Utilities,3442.49,
2025-08-18,AC124,Credit,Transport,852.38,Taxi or bus fare
2025-08-02,AC123,Debit,Transport,1489.87,Taxi or bus fare
2025-08-29,AC123,Debit,Food,3822.72,Lunch at cafe
2025-08-20,AC124,Credit,Utilities,3806.43,Utility bill
2025-08-18,AC124,Debit,Rent,2646.84,Monthly rent
2025-08-11,AC123,Credit,Transport,1471.92,Taxi or bus fare
2025-08-19,AC124,Debit,Food,144.87,Lunch at cafe
2025-08-01,AC123,Debit,Shopping,4473.45,Purchased items
2025-08-14,AC124,Credit,Salary,4219.92,Monthly paycheck
2025-08-06,AC125,Debit,Rent,1996.51,Monthly rent
2025-08-21,AC124,Credit,Food,343.44,Lunch at cafe
2025-08-19,AC125,Debit,Food,1029.35,Lunch at cafe
2025-08-05,AC124,Debit,Transport,1888.89,Taxi or bus fare
2025-08-20,AC123,Debit,Shopping,2317.41,Purchased items
2025-08-22,AC124,Debit,Entertainment,3879.91,Movie or event
2025-08-01,AC125,Debit,Entertainment,2359.44,Movie or event
2025-08-02,AC124,Debit,Shopping,1969.62,Purchased items
2025-08-09,AC123,Debit,Shopping,1386.52,Purchased items
2025-08-27,AC125,Debit,Utilities,4717.26,Utility bill
2025-08-02,AC125,Credit,Transport,3515.48,Taxi or bus fare
2025-08-13,AC124,Debit,Utilities,3478.74,Utility bill
2025-08-09,AC124,Debit,Food,1518.08,Lunch at cafe
2025-08-27,AC125,Debit,Entertainment,477.31,Movie or event
2025-08-14,AC125,Credit,Transport,4897.39,Taxi or bus fare
2025-08-27,AC123,Credit,Shopping,1871.00,Purchased items
2025-08-15,AC124,Debit,Utilities,1212.81,Utility bill
2025-08-03,AC123,Debit,Shopping,3883.05,Purchased items
2025-08-23,AC124,Credit,Shopping,1845.02,Purchased items
2025-08-28,AC125,Debit,Transport,1311.75,Taxi or bus fare
2025-08-05,AC124,Debit,Salary,4642.40,Monthly paycheck
2025-08-16,AC123,Credit,Rent,3986.26,Monthly rent
2025-08-30,AC123,Debit,Shopping,2140.19,Purchased items
2025-08-09,AC124,Debit,Transport,2984.58,Taxi or bus fare
2025-08-20,AC123,Debit,Transport,294.01,Taxi or bus fare
2025-08-19,AC124,Credit,Transport,4680.25,Taxi or bus fare
2025-08-29,AC124,Debit,Transport,3918.80,Taxi or bus fare
2025-08-06,AC125,Debit,Rent,1934.14,Monthly rent
2025-08-26,AC124,Debit,Entertainment,1275.03,Movie or event
2025-08-17,AC123,Credit,Utilities,2997.69,Utility bill
2025-08-10,AC125,Debit,Entertainment,1493.13,
2025-08-06,AC124,Debit,Utilities,4342.90,Utility bill
2025-08-29,AC125,Debit,Utilities,4342.35,Utility bill
2025-08-09,AC124,Debit,Transport,3757.92,Taxi or bus fare
2025-08-21,AC124,Credit,Entertainment,1202.62,Movie or event
2025-08-25,AC123,Credit,Rent,4339.29,Monthly rent
2025-08-25,AC124,Debit,Food,2607.06,Lunch at cafe
2025-08-22,AC125,Debit,Rent,1129.67,Monthly rent
2025-08-08,AC124,Credit,Transport,2063.54,Taxi or bus fare
2025-08-13,AC124,Debit,Rent,4082.39,Monthly rent
2025-08-29,AC125,Debit,Entertainment,914.50,Movie or event
2025-08-12,AC125,Debit,Transport,849.97,Taxi or bus fare
2025-08-31,AC125,Debit,Food,917.50,Lunch at cafe
2025-08-15,AC125,Credit,Entertainment,1993.54,Movie or event
2025-08-25,AC124,Debit,Shopping,4451.71,Purchased items
2025-08-20,AC123,Debit,Entertainment,3085.90,Movie or event
2025-08-05,AC125,,Transport,4948.21,Taxi or bus fare
2025-08-16,AC125,Credit,Utilities,1739.77,Utility bill
2025-08-04,AC124,Credit,Transport,2593.21,Taxi or bus fare
2025-08-20,AC123,Debit,Salary,2936.42,Monthly paycheck
2025-08-31,AC125,Debit,Transport,1960.06,Taxi or bus fare
2025-08-17,AC123,Credit,Entertainment,1058.50,Movie or event
2025-08-24,AC123,Debit,Entertainment,2389.83,Movie or event
2025-08-21,AC123,Debit,Salary,3769.22,Monthly paycheck
2025-08-06,AC125,Debit,Rent,2652.26,
2025-08-06,AC123,Credit,Transport,1172.45,Taxi or bus fare
2025-08-07,AC125,Debit,Entertainment,3640.50,Movie or event
2025-08-03,AC124,Debit,Food,2280.91,Lunch at cafe
2025-08-01,AC125,Credit,Food,1702.81,Lunch at cafe
2025-08-28,AC125,Debit,Food,1991.79,Lunch at cafe
2025-08-20,AC123,Credit,Shopping,2616.04,Purchased items
2025-08-28,AC123,Credit,Entertainment,1463.73,Movie or event
2025-08-22,AC124,Debit,Food,1373.78,Lunch at cafe
2025-08-16,AC123,Debit,Utilities,3636.60,Utility bill
2025-08-31,AC123,Credit,Utilities,1461.68,Utility bill
2025-08-25,AC123,Debit,Transport,1335.85,Taxi or bus fare
2025-08-27,AC124,Debit,Salary,-1528.84,Monthly paycheck
2025-08-02,AC123,Debit,Shopping,2606.17,Purchased items
2025-08-05,AC123,Credit,Utilities,4337.54,Utility bill
2025-08-03,AC123,Debit,Food,3652.03,Lunch at cafe
2025-08-04,AC125,,Utilities,1403.09,Utility bill
2025-08-06,AC124,Credit,Entertainment,1954.44,Movie or event
2025-08-27,AC125,Debit,Shopping,4581.07,Purchased items
2025-08-21,AC123,Debit,Shopping,2085.76,Purchased items
2025-08-09,AC124,Debit,Rent,3961.78,Monthly rent
2025-08-06,AC125,Credit,Entertainment,3525.32,Movie or event
2025-08-08,AC123,Credit,Shopping,3837.35,Purchased items
2025-08-01,AC123,Debit,Shopping,2766.51,Purchased items
2025-08-18,AC124,Debit,Entertainment,2800.21,Movie or event
2025-08-12,AC125,Debit,Food,1392.25,Lunch at cafe
2025-08-27,AC125,Credit,Entertainment,2346.88,Movie or event
2025-08-29,AC125,Debit,Salary,2982.55,Monthly paycheck
2025-08-26,AC123,Debit,Food,592.94,
2025-08-26,AC125,Credit,Transport,2855.12,Taxi or bus fare
2025-08-13,AC125,Credit,Entertainment,4903.90,Movie or event
2025-08-04,AC123,Debit,Utilities,661.57,Utility bill
2025-08-21,AC124,Credit,Salary,72.45,Monthly paycheck
2025-08-28,AC123,Credit,Entertainment,381.37,Movie or event
2025-08-19,AC125,Credit,Food,421.73,Lunch at cafe
2025-08-30,AC123,Credit,Salary,547.18,Monthly paycheck
2025-08-10,AC124,Debit,Entertainment,1266.75,Movie or event
2025-08-24,AC123,Credit,Rent,4488.03,Monthly rent
2025-08-01,AC123,Credit,Food,2898.80,Lunch at cafe
2025-08-12,AC125,Debit,Utilities,425.16,Utility bill
2025-08-22,AC124,Debit,Rent,4892.13,Monthly rent
2025-08-08,AC124,Credit,Salary,2982.87,Monthly paycheck
2025-08-26,AC123,Credit,Shopping,2343.42,Purchased items
2025-08-26,AC125,Credit,Utilities,1212.13,Utility bill
2025-08-22,AC123,Debit,Salary,2266.49,Monthly paycheck
2025-08-16,AC125,Credit,Transport,4474.65,Taxi or bus fare
2025-08-09,AC124,Credit,Food,4615.08,Lunch at cafe
2025-08-10,AC123,Credit,Transport,3784.96,Taxi or bus fare
2025-08-11,AC125,Debit,Utilities,3656.22,Utility bill
2025-08-04,AC124,Credit,Entertainment,2458.27,Movie or event
2025-08-12,AC123,Credit,Shopping,1666.93,Purchased items
2025-08-27,AC123,Credit,Shopping,1161.70,Purchased items
2025-08-14,AC123,Credit,Transport,3176.87,Taxi or bus fare
2025-08-03,AC125,Debit,Shopping,3716.50,Purchased items
2025-08-08,AC123,Debit,Shopping,4229.63,Purchased items
2025-08-19,AC125,Credit,Rent,1249.00,Monthly rent
2025-08-17,AC124,Debit,Salary,2385.23,Monthly paycheck
2025-08-16,AC125,Debit,Food,3537.95,Lunch at cafe
2025-08-30,AC124,Credit,Shopping,4436.63,Purchased items
2025-08-27,AC124,Credit,Utilities,2655.77,Utility bill
2025-08-03,AC124,Debit,Transport,62.78,Taxi or bus fare
2025-08-12,AC123,,Food,251.57,Lunch at cafe
2025-08-07,AC124,Credit,Transport,44.00,Taxi or bus fare
2025-08-16,AC123,Debit,Rent,1944.01,Monthly rent
2025-08-08,AC125,Debit,Shopping,1273.40,Purchased items
2025-08-27,AC125,,Rent,3060.56,Monthly rent
2025-08-27,AC124,Debit,Entertainment,3773.86,Movie or event
2025-08-29,AC124,Debit,Shopping,4886.52,Purchased items
2025-08-18,AC125,Debit,Shopping,2878.62,Purchased items
2025-08-12,AC123,Credit,Food,1317.51,Lunch at cafe
2025-08-23,AC123,Credit,Transport,2011.33,Taxi or bus fare
2025-08-22,AC125,Debit,Salary,2054.82,Monthly paycheck
2025-08-04,AC125,Debit,Food,1627.11,Lunch at cafe
2025-08-08,AC124,Credit,Entertainment,4103.77,Movie or event
2025-08-09,AC125,Credit,Food,1397.63,Lunch at cafe
2025-08-02,AC123,Credit,Shopping,826.62,Purchased items
2025-08-07,AC124,Credit,Utilities,222.27,Utility bill
2025-08-11,AC123,Credit,Food,438.34,Lunch at cafe
2025-08-15,AC124,Credit,Food,3896.99,Lunch at cafe
2025-08-29,AC123,Credit,Salary,4318.40,Monthly paycheck
2025-08-06,AC124,,Salary,1319.94,Monthly paycheck
2025-08-18,AC125,Credit,Entertainment,4783.09,Movie or event
2025-08-05,AC125,Debit,Shopping,3259.61,Purchased items
2025-08-17,AC124,Credit,Entertainment,513.70,Movie or event
2025-08-06,AC123,Credit,Shopping,3918.22,Purchased items
2025-08-29,AC124,Credit,Utilities,1597.76,Utility bill
2025-08-18,AC123,Debit,Utilities,3386.60,Utility bill
2025-08-27,AC125,Debit,Entertainment,4702.41,Movie or event
2025-08-17,AC123,Debit,Transport,3202.86,Taxi or bus fare
2025-08-15,AC124,Credit,Utilities,4112.73,Utility bill
2025-08-11,AC125,Credit,Food,2535.92,Lunch at cafe
2025-08-11,AC124,Debit,Utilities,4899.68,Utility bill
2025-08-04,AC124,Debit,Transport,1917.66,Taxi or bus fare
2025-08-22,AC124,Debit,Food,2104.05,Lunch at cafe
2025-08-13,AC124,Credit,Utilities,2922.55,Utility bill
2025-08-06,AC124,Credit,Utilities,1112.12,Utility bill
2025-08-29,AC124,Debit,Shopping,4595.73,Purchased items
2025-08-04,AC123,Debit,Utilities,648.73,Utility bill
2025-08-21,AC123,Credit,Rent,3680.18,Monthly rent
2025-08-13,AC124,Credit,Transport,1063.76,Taxi or bus fare
2025-08-14,AC124,,Food,1943.76,Lunch at cafe
2025-08-16,AC123,Debit,Entertainment,2653.35,Movie or event
2025-08-05,AC124,Debit,Food,2820.57,Lunch at cafe
2025-08-13,AC123,Credit,Utilities,928.54,Utility bill
2025-08-28,AC125,Debit,Food,4335.60,
2025-08-20,AC124,Credit,Shopping,3067.68,Purchased items
2025-08-16,AC125,Credit,Rent,3510.64,Monthly rent
2025-08-19,AC123,Credit,Shopping,602.24,
2025-08-01,AC125,Debit,Rent,1533.75,Monthly rent
2025-08-17,AC125,Credit,Entertainment,4034.02,Movie or event
2025-08-23,AC125,Debit,Food,1523.58,Lunch at cafe
2025-08-26,AC123,,Transport,2542.87,Taxi or bus fare
2025-08-03,AC124,Debit,Salary,225.69,Monthly paycheck
2025-08-27,AC123,Debit,Utilities,1018.11,Utility bill
2025-08-09,AC123,Debit,Shopping,2029.78,Purchased items
2025-08-15,AC125,Credit,Shopping,541.33,Purchased items
